S_N_0-50 S_N_50-75 S_N_75-100 param_fit_a param_fit_b
2.788494110107422 -999.0 -999.0 1.0933839392292517 -0.6650091856599787
3.0238542556762695 2.1460297107696533 1.736698865890503 -999.0 -999.0
-999.0 -999.0 -999.0 -999.0 -999.0
