S_N_0-15 S_N_16-30 S_N_31-60 S_N_60-inf param_fit_a param_fit_b
1.5086628794670105 1.716515302658081 -999.0 -999.0 2.0698224980366393 1.1322309186125301
1.8010656237602234 1.908742070198059 2.202709436416626 -999.0 -999.0 -999.0
2.190264344215393 2.191514492034912 2.6925755739212036 -999.0 -999.0 -999.0
3.7054874102462643 2.5457345247268677 2.9910833835601807 -999.0 -999.0 -999.0
3.051470398902893 2.4462145566940308 2.76698637008667 3.2024710178375244 -999.0 -999.0
